tconst,nconst
tt0058335,nm0001120
tt0058385,nm0002030
tt0058404,nm0001379
tt0058430,nm0793881
tt0058450,nm0218840
tt0058461,nm0001466
tt0058548,nm0916977
tt0058567,nm0000878
tt0058576,nm0001239
tt0058586,nm0001175
tt0058604,nm0435563
tt0058625,nm0856267
tt0058672,nm0202088
tt0058700,nm0706575
tt0058700,nm0758508
tt0058715,nm0001596
tt0058777,nm0256831
tt0058888,nm0000041
tt0058898,nm0000419
tt0058946,nm0690597
tt0058947,nm0002175
tt0059017,nm0799033
tt0059037,nm0422484
tt0059037,nm0001603
tt0059043,nm0943758
tt0059113,nm0000180
tt0059127,nm0279807
tt0059170,nm0000540
tt0059183,nm0000736
tt0059229,nm0000019
tt0059243,nm0001175
tt0059245,nm0828419
tt0059245,nm0624535
tt0059260,nm0504513
tt0059274,nm0001486
tt0059309,nm0695937
tt0059319,nm0002089
tt0059464,nm0714215
tt0059464,nm0504496
tt0059527,nm0434443
tt0059527,nm0460033
tt0059550,nm0301145
tt0059575,nm0001486
tt0059578,nm0001466
tt0059592,nm0000419
tt0059646,nm0000591
tt0059711,nm0572132
tt0059740,nm0368871
tt0059742,nm0936404
tt0059749,nm0728688
tt0059800,nm0950109
tt0059825,nm0001239
tt0059885,nm0733476
tt0059903,nm0232795
tt0060086,nm0318150
tt0060107,nm0001789
tt0060138,nm0000975
tt0060153,nm0554169
tt0060176,nm0000774
tt0060196,nm0001466
tt0060232,nm0671957
tt0060268,nm0000591
tt0060277,nm0645477
tt0060315,nm0179281
tt0060390,nm0000076
tt0060397,nm0281507
tt0060424,nm0000697
tt0060438,nm0504513
tt0060472,nm0001239
tt0060474,nm0653620
tt0060490,nm0806915
tt0060522,nm0943758
tt0060584,nm0301145
tt0060665,nm0003593
tt0060666,nm0912849
tt0060675,nm0000419
tt0060802,nm0579954
tt0060827,nm0000005
tt0060862,nm0112218
tt0060921,nm0422484
tt0060934,nm0936404
tt0060955,nm0001239
tt0060959,nm0161615
tt0061107,nm0000033
tt0061138,nm0500988
tt0061177,nm0000095
tt0061177,nm0849474
tt0061184,nm0001566
tt0061369,nm0329679
tt0061385,nm0757256
tt0061391,nm0002045
tt0061395,nm0000320
tt0061418,nm0671957
tt0061452,nm0346436
tt0061452,nm0400731
tt0061452,nm0001379
tt0061452,nm0569825
tt0061452,nm0663577
tt0061452,nm0848234
tt0061512,nm0742341
tt0061578,nm0000736
tt0061584,nm0281507
tt0061589,nm0672060
tt0061619,nm0001328
tt0061655,nm0000591
tt0061722,nm0001566
tt0061735,nm0006452
tt0061747,nm0692872
tt0061770,nm0728688
tt0061781,nm0001232
tt0061809,nm0112218
tt0061811,nm0422484
tt0061847,nm0462030
tt0061852,nm0718627
tt0061955,nm0000076
tt0061996,nm0000975
tt0062136,nm0004244
tt0062138,nm0000958
tt0062168,nm0001928
tt0062229,nm0578483
tt0062376,nm0165412
tt0062407,nm0002045
tt0062467,nm0950109
tt0062472,nm0447944
tt0062480,nm0000419
tt0062512,nm0318150
tt0062622,nm0000040
tt0062687,nm0331453
tt0062687,nm0879853
tt0062695,nm0000076
tt0062711,nm0671862
tt0062755,nm0281507
tt0062759,nm0301145
tt0062765,nm0946811
tt0062803,nm0400731
tt0062824,nm0796923
tt0062873,nm0218840
tt0062952,nm0001023
tt0062994,nm0943758
tt0063032,nm0179281
tt0063035,nm0446129
tt0063035,nm0000078
tt0063035,nm0503777
tt0063121,nm0836328
tt0063227,nm0367431
tt0063285,nm0716262
tt0063350,nm0001681
tt0063374,nm0757256
tt0063385,nm0715346
tt0063415,nm0001175
tt0063442,nm0769874
tt0063462,nm0000316
tt0063518,nm0001874
tt0063522,nm0000591
tt0063555,nm0660886
tt0063611,nm0000005
tt0063663,nm0675068
tt0063663,nm0001628
tt0063671,nm0000953
tt0063678,nm0001596
tt0063688,nm0422484
tt0063759,nm0000005
tt0063803,nm0000217
tt0063823,nm0242945
tt0063850,nm0000755
tt0064040,nm0578483
tt0064072,nm0357891
tt0064110,nm0347086
tt0064115,nm0001351
tt0064116,nm0001466
tt0064117,nm0757256
tt0064177,nm0765121
tt0064276,nm0000454
tt0064418,nm0000037
tt0064505,nm0172772
tt0064541,nm0516360
tt0064603,nm0829038
tt0064612,nm0006445
tt0064615,nm0496746
tt0064665,nm0772259
tt0064757,nm0402597
tt0064782,nm0517597
tt0064793,nm0000005
tt0064840,nm0623768
tt0064940,nm0000019
tt0065051,nm0447944
tt0065063,nm0000095
tt0065088,nm0001628
tt0065112,nm0000033
tt0065126,nm0368871
tt0065134,nm0796923
tt0065143,nm0000783
tt0065207,nm0404606
tt0065214,nm0001603
tt0065234,nm0002020
tt0065377,nm0780833
tt0065377,nm0368871
tt0065421,nm0718627
tt0065446,nm0001603
tt0065462,nm0692872
tt0065466,nm0000540
tt0065528,nm0001566
tt0065531,nm0578483
tt0065547,nm0572132
tt0065571,nm0000934
tt0065622,nm0001596
tt0065651,nm0000076
tt0065724,nm0706182
tt0065761,nm0000783
tt0065772,nm0006445
tt0065780,nm0563099
tt0065780,nm0563100
tt0065780,nm0959020
tt0065832,nm0782381
tt0065889,nm0677880
tt0065938,nm0404606
tt0065988,nm0671957
tt0066011,nm0002137
tt0066026,nm0000265
tt0066049,nm0799033
tt0066206,nm0769874
tt0066214,nm0131910
tt0066214,nm0001676
tt0066249,nm0000697
tt0066301,nm0001328
tt0066319,nm0000180
tt0066344,nm0623768
tt0066434,nm0000184
tt0066473,nm0281507
tt0066473,nm0297935
tt0066473,nm0557927
tt0066473,nm0000041
tt0066491,nm0000320
tt0066549,nm0094083
tt0066580,nm0905579
tt0066601,nm0000774
tt0066740,nm0297523
tt0066763,nm0611531
tt0066765,nm0534084
tt0066769,nm0936404
tt0066808,nm0000095
tt0066817,nm0829038
tt0066817,nm0453832
tt0066819,nm0796923
tt0066831,nm0792450
tt0066831,nm0000078
tt0066892,nm0001566
tt0066921,nm0000040
tt0066993,nm0001692
tt0066995,nm0357891
tt0066999,nm0796923
tt0066999,nm0000142
tt0067065,nm0852279
tt0067093,nm0422484
tt0067116,nm0001243
tt0067128,nm0388198
tt0067140,nm0001466
tt0067185,nm0000797
tt0067277,nm0874308
tt0067309,nm0001587
tt0067328,nm0000953
tt0067334,nm0441914
tt0067334,nm0836328
tt0067355,nm0005645
tt0067372,nm0000591
tt0067411,nm0000265
tt0067445,nm0899581
tt0067525,nm0755963
tt0067541,nm0467646
tt0067549,nm0770234
tt0067588,nm0000142
tt0067656,nm0000878
tt0067741,nm0662953
tt0067756,nm0874320
tt0067778,nm0001501
tt0067800,nm0001603
tt0067824,nm0516344
tt0067824,nm0156927
tt0067866,nm0423524
tt0067893,nm0375494
tt0067927,nm0764781
tt0067959,nm0001676
tt0067992,nm0835799
tt0068154,nm0005645
tt0068182,nm0001348
tt0068240,nm0000697
tt0068278,nm0001202
tt0068309,nm0000217
tt0068327,nm0002080
tt0068334,nm0006916
tt0068361,nm0000320
tt0068408,nm0496746
tt0068421,nm0041932
tt0068473,nm0000958
tt0068519,nm0785877
tt0068555,nm0000095
tt0068611,nm0000033
tt0068612,nm0000835
tt0068638,nm0001603
tt0068646,nm0000338
tt0068699,nm0000142
tt0068713,nm0554632
tt0068762,nm0001628
tt0068767,nm0516344
tt0068768,nm0836328
tt0068833,nm0000127
tt0068931,nm0935382
tt0068935,nm0000045
tt0069089,nm0000691
tt0069090,nm0531066
tt0069097,nm0006889
tt0069113,nm0623768
tt0069191,nm0000019
tt0069280,nm0001351
tt0069281,nm0000581
tt0069293,nm0001789
tt0069341,nm0005711
tt0069467,nm0000005
tt0069495,nm0000953
tt0069687,nm0000694
tt0069697,nm0284503
tt0069704,nm0000184
tt0069747,nm0653620
tt0069762,nm0000517
tt0069768,nm0496746
tt0069865,nm0796923
tt0069895,nm0001681
tt0069897,nm0384335
tt0069945,nm0000118
tt0069947,nm0003593
tt0069995,nm0001676
tt0070016,nm0629363
tt0070016,nm0847314
tt0070034,nm0167195
tt0070040,nm0258977
tt0070047,nm0001243
tt0070077,nm0946811
tt0070130,nm0274659
tt0070215,nm0884547
tt0070233,nm0301145
tt0070239,nm0422484
tt0070290,nm0000797
tt0070294,nm0396421
tt0070328,nm0357891
tt0070334,nm0000265
tt0070355,nm0692872
tt0070379,nm0000217
tt0070460,nm0000076
tt0070510,nm0000953
tt0070511,nm0769874
tt0070518,nm0001603
tt0070544,nm0482537
tt0070608,nm0718627
tt0070608,nm0359457
tt0070643,nm0770234
tt0070666,nm0001486
tt0070698,nm0000361
tt0070707,nm0000095
tt0070723,nm0281507
tt0070735,nm0001351
tt0070791,nm0382779
tt0070832,nm0903474
tt0070842,nm0000682
tt0070849,nm0000934
tt0070903,nm0001628
tt0070909,nm0000341
tt0070917,nm0362736
tt0070948,nm0000958
tt0071110,nm0806915
tt0071115,nm0000217
tt0071129,nm0000019
tt0071141,nm0001202
tt0071222,nm0163706
tt0071230,nm0000316
tt0071249,nm0001603
tt0071315,nm0000591
tt0071360,nm0000338
tt0071402,nm0935382
tt0071411,nm0000041
tt0071455,nm0733476
tt0071464,nm0415333
tt0071487,nm0000320
tt0071517,nm0384335
tt0071524,nm0000697
tt0071562,nm0000338
tt0071569,nm0381638
tt0071571,nm0355181
tt0071577,nm0002338
tt0071615,nm0423524
tt0071691,nm0001348
tt0071746,nm0002080
tt0071771,nm0000736
tt0071807,nm0357891
tt0071853,nm0000416
tt0071853,nm0001402
tt0071877,nm0001486
tt0071910,nm0146960
tt0071935,nm0623768
tt0071970,nm0001587
tt0071994,nm0000361
tt0072081,nm0001175
tt0072226,nm0000229
tt0072251,nm0765121
tt0072271,nm0001361
tt0072281,nm0504513
tt0072288,nm0001047
tt0072308,nm0347086
tt0072353,nm0088397
